policy_id,policy_name,summary,district,source,detail_url
20250316005400210629,2025년 서울시 청년월세지원 사업,서울에 거주하는 청년의 주거비 부담완화와 안정적 주거환경 마련을 위한 서울시의 청년 주거복지 지원 정책,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210629&tabKind=001
20250316005400210628,신혼부부 청년 임차보증금 지원사업,신혼부부 · 청년의 주거안정을 위한 주거비 부담 완화,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210628&tabKind=001
20250316005400210627,청년과 어르신 주거공유(한지붕세대공감),어르신의 고립감을 해소하고 대학(원)생에게 주변 임대료보다 저렴하게 주거공간을 제공하여 주거비 부담 완화,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210627&tabKind=001
20250316005400210626,청년 매입임대주택 사업,ㅇ 무주택 저소득 청년층의 주거안정을 위해 신축주택을 매입하여 저렴하게 공급,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210626&tabKind=001
20250316005400210625,서울 청년 밀키트 창업지원,ㅇ 민관 보유 창업 인프라를 활용한 청년 밀키트 창업 지원으로 준비된 창업가 양성,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210625&tabKind=001
20250316005400210624,로컬크리에이터 양성(로컬인서울),ㅇ 지역의 역사적․문화적 특색을 살린 상품․서비스로 로컬브랜드 상권 활성화에 앞장설 수 있는 청년 창업가 양성 및 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210624&tabKind=001
20250316005400210623,청년 골목창업 지원,"ㅇ 청년창업 지원을 통한 혁신적인 청년 사업가 양성
ㅇ 지속가능한 골목창업환경 조성을 통한 지역경제 활성화",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210623&tabKind=001
20250316005400210622,2025 캠퍼스타운 혁신 및 청년희망·지역경제 활성화,"ㅇ 서울캠퍼스타운은 대학과 지역이 협력하여 청년 창업과 지역경제를 활성화하는 사업입니다. 
2025년 현재 20개 캠퍼스타운에서 창업공간지원, 특화된 창업보육 프로그램 등을 통해 창업기업을 
지원하고 있습니다. 서울 캠퍼스 타운은 창업을 꿈꾸는 청년을 응원합니다.",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210622&tabKind=001
20250316005400210621,청년쿡 비즈니스센터 식품제조 스타트업 지원,청년 푸드산업 스타트업 창업 활성화를 위한 성장 기반 마련,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210621&tabKind=001
20250316005400210620,지역연계형 청년 창업 지원사업(넥스트로컬),"ㅇ 지역상생 차원의 농업‧농촌자원에 대한 인식 전환 및 문화‧관광‧IT 등 다양한 분야에서의 서울청년 참여 지역활력사업 추진 
 ㅇ 서울청년의 지역탐색 과정 통한 지역자원 활용 아이디어 발굴 ‧실험 지원 및 서울-지방 민관협력 통한 지역연계 창업환경 조성 
 ㅇ 지역균형발전을 위해 지역경제 활성화 가능한 청년 비즈니스 모델 개발 및 서울-지역 간 지속가능한 경제적 상생 도모",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210620&tabKind=001
